0 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
3 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
4 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
5 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
6 [1.0234011, 1.0234011, 1.0234011, 1.1005989, 1.1005989, 1.0995989, 1.0244011, 1.0244011]
7 [1.0199726, 1.0199726, 1.0199726, 1.1040275, 1.1040275, 1.1030275, 1.0209725, 1.8329725]
8 [1.0199726, 1.0199726, 1.0199726, 1.1040275, 1.1040275, 1.1030275, 1.0209725, 1.8329725]
9 [1.0234066, 1.0234066, 1.0234066, 1.1005934, 91.10059, 1.0995934, 1.0244066, 182.02441]
10 [1.0234066, 1.0234066, 1.0234066, 1.1005934, 1.1005934, 1.0995934, 1.0244066, 1.0244066]
11 [1.5068374, 1.0888366, 1.0235742, 1.100588, 182.10059, 1.0995879, 1.024412, 1.024412]
12 [1.0234138, 1.0234123, 1.0234121, 1.100588, 1.100588, 1.0995879, 1.024412, 1.024412]
13 [1.0234121, 1.0234121, 1.0234121, 1.100588, 1.100588, 1.0995879, 1.024412, 1.024412]
14 [1.0234011, 1.0234011, 1.0234011, 1.1005989, 91.1006, 1.0995989, 1.0244011, 1.0244011]
15 [1.0234011, 1.0236547, 1.1256628, 1.9132146, 1.2105745, 1.0998713, 1.0244011, 1.0244011]
16 [1.0234011, 1.0234011, 1.0234015, 1.1006019, 1.1005993, 1.0998837, 1.131438, 1.815303]
17 [1.0234011, 1.0234011, 1.0234011, 1.1005989, 1.1005989, 1.0995989, 1.0244014, 1.0244039]
18 [1.0234011, 1.0234011, 1.0234011, 1.1005989, 1.1005989, 1.0995989, 1.0244011, 1.0244011]
19 [0.68274415, 0.97730297, 1.0232924, 1.1005934, 1.1005934, 1.0995934, 1.0244066, 1.0244066]
20 [1.0234109, 1.0234119, 1.0236536, 1.2054143, 310.25864, 1.204319, 1.0246538, 1.024412]
21 [1.0234011, 1.0234011, 1.0234011, 1.1005993, 91.10083, 1.0995992, 1.0244011, 1.0244011]
22 [1.0234011, 1.0234011, 1.0234011, 1.1005989, 1.1005989, 1.0995989, 1.0244011, 1.0244011]
23 [1.0233957, 1.0232252, 0.9546179, 0.55406135, 1.0266378, 1.0994211, 1.0243956, 1.0243956]
24 [1.0233957, 1.0233957, 1.0233954, 1.1006024, 1.1006042, 1.0994118, 0.95202106, 0.4896165]
25 [1.0234066, 1.0234066, 1.0234066, 1.1005934, 91.10059, 1.0995934, 1.0244063, 1.0244046]
26 [1.0234066, 1.0234066, 1.0234066, 1.1005934, 1.1005934, 1.0995934, 1.0244066, 1.0244066]
27 [1.0234011, 1.0234011, 1.0234011, 1.1005989, 182.1006, 1.0995989, 1.0244011, 1.0244011]
28 [1.0234011, 1.0234011, 1.023222, 1.0228406, 0.5260384, 1.0219111, 1.0242217, 1.0244011]
29 [1.0234011, 1.0234011, 1.0234011, 1.1005987, 1.1005968, 1.0995986, 1.0244011, 1.0244011]
30 [1.0234011, 1.0234011, 1.0234011, 1.1005989, 1.1005989, 1.0995989, 1.0244011, 1.0244011]
31 [1.0233957, 1.0233957, 1.0233957, 1.1006044, 1.1006044, 1.0996044, 1.0243956, 1.0243956]
32 [1.0233957, 1.0233957, 1.0233957, 1.1006044, 1.1006044, 1.0996044, 1.0243956, 1.0243956]
33 [1.0234121, 1.0234121, 1.0234121, 1.100588, 60.10059, 1.0995879, 1.024412, 1.024412]
34 [1.0234121, 1.0234121, 1.0234121, 1.100588, 1.100588, 1.0995879, 1.024412, 1.024412]
35 [1.02339, 1.02339, 1.02339, 1.1006099, 1.1006099, 1.0996099, 1.0243901, 1.0243901]
36 [1.0234011, 1.0234011, 1.0234011, 1.1005989, 91.1006, 1.0995989, 1.0244011, 1.0244011]
37 [1.0234011, 1.0234011, 1.0234011, 1.1005989, 1.1005989, 1.0995989, 1.0244011, 1.0244011]
38 [1.0199671, 1.0199671, 1.0199671, 1.104033, 91.104034, 1.103033, 1.020967, 182.83296]
39 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
40 [0.023395605, 0.023395605, 0.023395605, 0.10060439, 0.0, 0.0, 0.0, 0.0]
41 [1.0233957, 1.0233957, 1.0233957, 1.1006044, 1.1006044, 1.0996044, 1.0243956, 1.0243956]
42 [1.0233957, 1.0233957, 1.0233957, 1.1006044, 1.1006044, 0.0, 0.0, 0.0]
43 [1.0233957, 1.0233957, 1.0233957, 1.1006044, 1.1006044, 1.0996044, 1.0243956, 1.0243956]
44 [1.0233957, 1.0233957, 1.0233957, 1.1006044, 1.1006044, 1.0996044, 1.0243956, 1.0243956]
45 [1.0233957, 1.0233957, 1.0236492, 1.2105805, 1.9132241, 1.2094805, 1.0246494, 1.0243956]
46 [1.0233957, 1.0233957, 1.0233957, 1.1006048, 1.1006073, 1.0996047, 1.0243956, 1.0243956]
47 [1.0233957, 1.0233957, 1.0233957, 1.1006044, 1.1006044, 1.0996044, 1.0243956, 1.0243956]
48 [1.0199726, 1.0199726, 1.0199726, 1.1040275, 91.10403, 1.1030275, 1.0209725, 182.83298]
49 [1.0199726, 1.0199726, 1.0199726, 1.1040275, 1.1040275, 1.1030275, 1.0209725, 1.8329725]
